#	***	DATA	***																																																				
#------------------------------------------------------------------------------------------------																																																							
#maturity	at	age:	Based	on	2004	Data	provided	by	Wilhelm	2006																																													
#0	1	2	3	4	5	6	7																																																
0.021117286	0.195868899	0.73335004	0.968801492	0.997155991	0.999747462	0.999977628	0.999998019																																																
#================================================================================================================================================================================================================																																																							
#	Midwater	annual	catch	(1000	ton;	Namibia+Other;	Pelagic;	Bulgaria;	Poland;	Romania;	USSR)																																												
#	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
	47	23	21	71	126	100	72	69	47	51	77	51	43.6	34.5	49.2	45.6	63.6	116.5	88	64.7	27.3	44.6	100.1	91.1	73.1	86	514	393	381	342	291.317	206.173	326.25	276.43	232.777	175.755	201.501	260.244	259.248	295.608	252.281	242.912	315.878	251.218	268.815	253.713	96.072	182.554	246.524	239.465	304.638	317.399	285.0265	280.255	101.59982
	0	0	0	0	0	0	0	0	0	0	14	22	12	31	14	24	82	10	33	39	4	68	107	88	22	84	34	17	30.771	85.18	83.006	115.015	74.301	33.863	54.892	90.984	88.296	25.222	26.679	17.484368	28.65954391	61.60325494	48.47176888	43.70329308	44.56586498	44.42902196	28.65604533	9.311	13	25	15	13.465	12.92548	2.43	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6	37.3	48.4	51.2	50.5	42.8	48.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	8.5	9.7	27.4	42.2	42.1	122.6	82	69.5	118.8	94.7	108.3	76.1	36.1	14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.2	67.3	31.8	40.2	74.7	116.2	107.8	69.4	97.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	197.9	109.8	178.4	396.2	175.3	271.7	150.7	322.4	362.4	329.6	117.2	193.5	216.6	169.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#================================================================================================================================================================================================================																																																							
#Note:	For	all	three	series	CAA	was	estimated	using:	CAL	data	and	2004	LAK																																										
#(up	to	3+	for	survey	and	pelagic	and	up	to	5+	for	MW),																																											
#solving	for	least	SS	of	proportion	at	length,	starting	at	0	for	every	age,	keeping	relative	freq	at	each	age	>	0.0001																																		
#This	work	was	done	by	M.	Wilhelm	-2004																																																
#	Proportion	of	Numbers	caught	by	age	by	Midwater	fleet,	0	to	plus	group:																																										
#	0	1	2	3	4	5	6	7																																															
1961	0	0	0	0	0	0	0	0																																															
1962	0	0	0	0	0	0	0	0																																															
1963	0	0	0	0	0	0	0	0																																															
1964	0	0	0	0	0	0	0	0																																															
1965	0	0	0	0	0	0	0	0																																															
1966	0	0	0	0	0	0	0	0																																															
1967	0	0	0	0	0	0	0	0																																															
1968	0	0	0	0	0	0	0	0																																															
1969	0	0	0	0	0	0	0	0																																															
1970	0	0	0	0	0	0	0	0																																															
1971	0	0	0	0	0	0	0	0																																															
1972	0	0	0	0	0	0	0	0																																															
1973	0	0	0	0	0	0	0	0																																															
1974	0	0	0	0	0	0	0	0																																															
1975	0	0	0	0	0	0	0	0																																															
1976	0	0	0	0	0	0	0	0																																															
1977	0	0	0	0	0	0	0	0																																															
1978	0	0	0	0	0	0	0	0																																															
1979	0	0	0	0	0	0	0	0																																															
1980	0	0	0	0	0	0	0	0																																															
1981	0	0	0	0	0	0	0	0																																															
1982	0	0	0	0	0	0	0	0																																															
1983	0	0	0	0	0	0	0	0																																															
1984	0	0	0	0	0	0	0	0																																															
1985	0	0	0	0	0	0	0	0																																															
1986	0	0	0	0	0	0	0	0																																															
1987	0	0	0	0	0	0	0	0																																															
1988	0	0	0	0	0	0	0	0																																															
1989	0	0	0	0	0	0	0	0																																															
1990	0	0	0	0	0	0	0	0																																															
1991	0	0	0.054	0.866	0.08	0	0	0																																															
1992	0	0.006	0.002	0.104	0.888	0	0	0																																															
1993	0	0	0	0.375	0.625	0	0	0																																															
1994	0	0.023	0.017	0.498	0.462	0	0	0																																															
1995	0.005	0.005	0.413	0.331	0.213	0.032	0	0																																															
1996	0.013	0.348	0.363	0.165	0.083	0.022	0.005	0.002																																															
1997	0	0	0.101	0.644	0.255	0	0	0																																															
1998	0	0.002	0.133	0.492	0.373	0	0	0																																															
1999	0.004	0.014	0.162	0.473	0.222	0.126	0	0																																															
2000	0.006	0.095	0.336	0.388	0.12	0.056	0	0																																															
2001	0	0.056	0.495	0.243	0.188	0.002	0.016	0																																															
2002	0.006	0.09	0.248	0.363	0.205	0.048	0.03	0.01																																															
2003	0.001	0.023	0.477	0.442	0.048	0.002	0.003	0.004																																															
2004	0.004	0.044	0.37	0.383	0.119	0.071	0.006	0.002																																															
2005	0.006	0.03	0.219	0.334	0.246	0.103	0.04	0.022																																															
2006	0	0.027	0.404	0.462	0.055	0.052	0	0																																															
2007	0	0.004	0.69	0.271	0.007	0.029	0	0																																															
2008	0	0.081	0.449	0.453	0	0	0.026	0																																															
2009	0	0	0	0	0	0	0	0																																															
2010	0	0	0	0	0	0	0	0																																															
2011	0	0.008	0.258	0.47	0.16	0.093	0.008	0.002																																															
2012	0	0.012	0.268	0.444	0.159	0.105	0.01	0.002																																															
2013	0	0.014	0.302	0.462	0.133	0.076	0.009	0.003																																															
2014	0.000	0.016	0.306	0.475	0.130	0.064	0.005	0.002																																															
2015	0	0	0	0	0	0	0	0																																															
#																																																							
#Proportion	of	Numbers	caught	by	the	pelagic	fishery:	Estimated	CAA	data	by	M.Wilhem																																											
#	0	1	2	3	4	5	6	7																																															
1961	0	0	0	0	0	0	0	0																																															
1962	0	0	0	0	0	0	0	0																																															
1963	0	0	0	0	0	0	0	0																																															
1964	0	0	0	0	0	0	0	0																																															
1965	0	0	0	0	0	0	0	0																																															
1966	0	0	0	0	0	0	0	0																																															
1967	0	0	0	0	0	0	0	0																																															
1968	0	0	0	0	0	0	0	0																																															
1969	0	0	0	0	0	0	0	0																																															
1970	0	0	0	0	0	0	0	0																																															
1971	0	0	0	0	0	0	0	0																																															
1972	0	0	0	0	0	0	0	0																																															
1973	0	0	0	0	0	0	0	0																																															
1974	0	0	0	0	0	0	0	0																																															
1975	0	0	0	0	0	0	0	0																																															
1976	0	0	0	0	0	0	0	0																																															
1977	0	0	0	0	0	0	0	0																																															
1978	0	0	0	0	0	0	0	0																																															
1979	0	0	0	0	0	0	0	0																																															
1980	0	0	0	0	0	0	0	0																																															
1981	0	0	0	0	0	0	0	0																																															
1982	0	0	0	0	0	0	0	0																																															
1983	0	0	0	0	0	0	0	0																																															
1984	0	0	0	0	0	0	0	0																																															
1985	0	0	0	0	0	0	0	0																																															
1986	0	0	0	0	0	0	0	0																																															
1987	0	0	0	0	0	0	0	0																																															
1988	0	0	0	0	0	0	0	0																																															
1989	0	0	0	0	0	0	0	0																																															
1990	0	0	0	0	0	0	0	0																																															
1991	0.052	0.35	0.598	0	0	0	0	0																																															
1992	0.021	0.435	0.177	0.367	0	0	0	0																																															
1993	0.356	0.387	0.098	0.16	0	0	0	0																																															
1994	0.052	0.948	0	0	0	0	0	0																																															
1995	0.292	0.565	0.099	0.045	0	0	0	0																																															
1996	0.486	0.435	0.068	0.002	0.008	0	0	0																																															
1997	0.007	0.722	0.271	0	0	0	0	0																																															
1998	0.089	0.19	0.528	0.179	0.014	0	0	0																																															
1999	0.059	0.798	0.143	0	0	0	0	0																																															
